Ordem,Seleção SOE ,Seleção SPR/SRE ,PrioridadeANA,FID,Ano/RHNR,Situação,GestorPCD,CODIGO,NOME,OBJ1,OBJ2,OBJ3,OBJ4,OBJ5,OBJ6,SOMA,NTRECHOSAT,UR,Latitude,Longitude,AreaDrenag,Escala,Registrador de nível,Descarga líquida,Sedimentos,Qualidade da água,Telemétrica,Descricao,Observações Adicionais
1,,,,,2020,,,8250002,CALÇOENE,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
113,,,,202,2019,Operando,,22250000,FAZENDA LOBEIRA,0,0,1,0,0,0,1,1,SUREG-GO,-11.5328,-48.288600000000002,14500,1,0,1,0,1,0, 
114,,,,829,,,,22500000,MIRACEMA DO TOCANTINS,0,1,1,1,0,1,4,5,SUREG-GO,-9.5680999999999994,-48.380000000000003,185000,1,0,0,0,0,0, 
115,,,,258,,,,22680000,JATOBÁ (FAZENDA BOA NOVA),0,1,0,0,0,0,1,1,SUREG-GO,-9.9953000000000003,-47.472499999999997,16900,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
116,,,,56,,,,22700000,NOVO ACORDO,0,0,1,0,0,0,1,1,SUREG-GO,-9.9633000000000003,-47.674700000000001,18000,1,0,1,1,1,0, 
117,,Sim,Sim,5,,,,22900000,PORTO REAL,0,1,1,0,0,0,2,2,SUREG-GO,-9.3069000000000006,-47.929200000000002,44100,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
118,,,,20,,,,23100000,TUPIRATINS,0,1,1,0,1,0,3,3,SUREG-GO,-8.3917000000000002,-48.111400000000003,242000,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
119,,,,296,,,,23220000,CACHOEIRA MONTE LINDO,0,0,1,0,0,0,1,1,SUREG-GO,-7.9939,-46.926900000000003,3120,1,0,0,0,0,0, 
120,,,,103,,,,23250000,GOIATINS,0,1,1,0,0,0,2,2,SUREG-GO,-7.7077999999999998,-47.311700000000002,10100,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
121,,,,28,,,,23600000,TOCANTINÓPOLIS,1,1,0,1,0,1,4,3,SUREG-GO,-6.2885999999999997,-47.3919,289000,1,0,0,0,0,0, 
122,,,,612,,,,23610000,RIO ITAUEIRAS,0,0,0,0,1,0,1,1,SUREG-GO,-6.5353000000000003,-47.303600000000003,1120,1,0,1,0,1,0, 
123,,Sim,Sim,453,,,,23700000,DESCARRETO,0,1,1,1,1,0,4,4,SUREG-GO,-5.7893999999999997,-47.468899999999998,297000,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
